Unnamed: 0,Timestamp,Student Id,Paid Course? (Y/N),Course Fee Email,Date Sent,Payment Receipt Sent,How And Where Did You Hear About This Course ,Country,City,Gender,Age,Are You Currently Attending University   College ,Latest Degree Completed Or In Progress ,University Attended,Discipline Of Degree ,Have You Taken Any Foundational Course In Data Science   Econometrics   Statistics   Computer Science ,What Programming Language S  Are You Most Comfortable In  R  Python  Java  Js  Etc    If None Please Type  None   ,Prior Work Experience In Data Science Or Machine Learning,Primary Reason For Taking This Course ,Do You Understand That This Is A Paid Course,Prior Formal Education In R,Prior Formal Education In Python,Prior Work Experience In R ,Prior Work Experience In Python ,Personal Education/Knowledge In R,Personal Education/Knowledge In Python,Linkedin?,Do You Have Any Feedback  Thoughts  Or Comments You Would Like To Share ,Date,Time,Qr_Uni_Col,Uni_Col,Payment
54,2022-08-22 09:03:00,54,No,Sent,8/27/2022,not yet,Whatsapp group,Pakistan,Karachi,Male,23,No,Bachelors,Iqra University,Computer science,Computer Science,Python,Beginner (0 Years),I am planning to do masters in data science so before I enrolled in Masters this course would be beneficial for me to enhance my skills,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,None,2022-08-22 00:00:00,2022-10-21 09:03:12,Iqra University,IQRA,0
55,2022-08-22 09:04:00,55,No,Sent,8/27/2022,not yet,WhatsApp group,Pakistan,Karachi,Male,23,Yes,Bachelors,Iqra University,Computer Science,Computer Science,"Js, Java",Beginner (0 Years),I want constantly learn new technologies,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),TRUE,Na,2022-08-22 00:00:00,2022-10-21 09:04:58,Iqra University,IQRA,0
56,2022-08-22 09:10:00,56,No,Sent,8/27/2022,not yet,Facebook,Pakistan,Karachi,Female,22,Yes,H.S.C,IBA,Accounting and finance,Statisitics,Python,Beginner (0 Years),Would love to learn and diverse my knowledge,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,None,2022-08-22 00:00:00,2022-10-21 09:10:43,IBA,IBA,0
57,2022-08-22 09:14:00,57,No,Sent,8/27/2022,not yet,From a friend,Pakistan,Karachi,Male,26,No,Bachelors,Iqra University,Computer Science,Computer Science,None,Beginner (0 Years),Learning,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 09:14:07,Iqra University,IQRA,0
58,2022-08-22 09:17:00,58,No,Sent,8/27/2022,not yet,People of IBA and Lums,Pakistan,Karachi,Male,23,No,Bachelors,IBA,Accounting and Finance,Statisitics,None,Beginner (0 Years),To get more skills,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 09:17:38,IBA,IBA,0
59,2022-08-22 09:33:00,59,No,Sent,8/27/2022,not yet,Students whatsapp group,Pakistan,Karachi,Male,24,No,Bachelors,Iqra Unversity,BSCS,Computer Science,Python,Beginner (0 Years),I wanna learn python,No,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Intermediate (2-3 Years),Intermediate (2-3 Years),TRUE,No,2022-08-22 00:00:00,2022-10-21 09:33:33,Iqra Unversity,IQRA,0
60,2022-08-22 09:44:00,60,No,Sent,8/27/2022,not yet,Social Media(Facebook),Pakistan,Karachi,Male,24,Yes,Bachelors,IBA,Economics,Econometrics,Python,Beginner (0 Years),Enhance my coding skills for programming and gain experience to get a decent job in  IT sector.,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 09:44:41,IBA,IBA,0
61,2022-08-22 09:55:00,61,Yes,Sent,8/26/2022,not yet,Linkedin,Pakistan,Karachi,Male,20,Yes,Bachelors,IBA,Bs EM,All of them,"Python, java",Intermediate (2-3 Years),To gain real skill and market exposure,Yes,Intermediate (2-3 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Learner (1 Year or Less),Learner (1 Year or Less),None,None,2022-08-22 00:00:00,2022-10-21 09:55:36,IBA,IBA,0
62,2022-08-22 10:00:00,62,No,Sent,8/27/2022,not yet,From a Friend,Pakistan,Karachi,Male,25,No,Bachelors,Iqra University,Bachelors in Software Engineering (BSSE),None of them,java,Beginner (0 Years),Want to learn,No,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,No,2022-08-22 00:00:00,2022-10-21 10:00:22,Iqra University,IQRA,0
63,2022-08-22 10:02:00,63,No,Sent,8/27/2022,not yet,Facebook,Pakistan,Gilgit,Female,21,No,Masters,"IBA, Karachi",Mathematics,All of them,R and python,Learner (1 Year or Less),Enhace my knowledge about data science and improving myjob prospects,No,Intermediate (2-3 Years),Learner (1 Year or Less),Intermediate (2-3 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),TRUE,What is the criteria for getting a financial aid to complete the course?,2022-08-22 00:00:00,2022-10-21 10:02:05,"IBA, Karachi",IBA,0
64,2022-08-25 03:09:00,64,No,Sent,8/26/2022,Yes,Through a WhatsApp group,Pakistan,Karachi,Female,31,No,Bachelors,Institute of Business Administration Karachi,Computer Science,Computer Science,Python,Learner (1 Year or Less),Hands-on practical learning,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),TRUE,None,2022-08-25 00:00:00,2022-10-21 03:09:44,Institute of Business Administration Karachi,IBA,1
65,2022-08-22 10:17:00,65,Yes,Sent,8/26/2022,not yet,WhatsApp,Pakistan,Karachi,Male,23,Yes,Bachelors,University of Karachi,Software Engineering,All of them,Python,Learner (1 Year or Less),For career development,Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 10:17:17,University of Karachi,KU,0
66,2022-08-22 10:23:00,66,No,Sent,8/27/2022,not yet,I am already software engineering,Pakistan,Karachi,Male,25,Yes,Bachelors,Baqai medical University,Software engineering,Data Science,C sharp,Beginner (0 Years),field already software side,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,Yes,2022-08-22 00:00:00,2022-10-21 10:23:07,Baqai medical University,Baqai medical University,0
67,2022-08-22 10:50:00,67,No,Sent,8/27/2022,not yet,Through a friend,Pakistan,Karachi,Male,21,Yes,Bachelors,Institute of business administration Karachi,accounting and Finance,Statisitics,Python,Beginner (0 Years),Wanna Perue a career in somewhat intersection of data science and finance,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),TRUE,No,2022-08-22 00:00:00,2022-10-21 10:50:23,Institute of business administration Karachi,IBA,0
68,2022-08-22 11:04:00,68,No,Sent,8/27/2022,not yet,whatsapp group,Pakistan,Karachi,Male,26,No,Bachelors,IQRA UNIVERSITY,SOFTWARE ENGINEERING,Computer Science,.NET CORE,Intermediate (2-3 Years),IMPROVE SKILLS,No,Beginner (0 Years),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),NONE,None,2022-08-22 00:00:00,2022-10-21 11:04:34,IQRA UNIVERSITY,IQRA,0
69,2022-08-22 11:11:00,69,Yes,Sent,8/26/2022,not yet,From my university group,Pakistan,Karachi,Female,21,Yes,Bachelors,Student of Sindh madressatul Islam University,BS in Artificial Intelligence,Data Science,Python,Learner (1 Year or Less),To explore and to learn new thing because my aim is to become a best Data scientist,Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Intermediate (2-3 Years),TRUE,I am very passionate about my field and right now i want this opportunity so that i can learn new things.,2022-08-22 00:00:00,2022-10-21 11:11:44,Student of Sindh madressatul Islam University,SMIU,0
70,2022-08-22 11:20:00,70,No,Sent,8/27/2022,not yet,IBA,Pakistan,Karachi,Female,25,No,Bachelors,IBA,Economics and math,All of them,Python,Learner (1 Year or Less),To furnish the skills,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),None (0 Years),Learner (1 Year or Less),Learner (1 Year or Less),TRUE,No paid,2022-08-22 00:00:00,2022-10-21 11:20:03,IBA,IBA,0
71,2022-08-22 11:26:00,71,Yes,Sent,8/26/2022,not yet,WhatsApp Job Finders Group,Pakistan,Lahore,Male,23,No,Bachelors,University of Central Punjab,BSCS,Computer Science,"Python, Java, PHP, C++",Learner (1 Year or Less),Want To Explore New Things In Data Sciences,Yes,Learner (1 Year or Less),Intermediate (2-3 Years),Some (1 Year or Less),Intermediate (2-3 Years),Learner (1 Year or Less),Intermediate (2-3 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 11:26:22,University of Central Punjab,University of Central Punjab,0
72,2022-08-22 11:36:00,72,No,Sent,8/27/2022,not yet,Social Media,Pakistan,Lahore,Male,22,No,Bachelors,Superior University,Bachelors in Computer Science,Computer Science,JS,Beginner (0 Years),To get a good job.,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 11:36:49,Superior University,Superior University,0
73,2022-08-22 11:40:00,73,No,Sent,8/27/2022,not yet,Social Media,Pakistan,Karachi,Female,24,No,Bachelors,NED University of Engineering and Technology,Computational Finance,All of them,"Python, PL/SQL",Learner (1 Year or Less),Want to enhance my skillsets more towards data science,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),TRUE,I wants to make my identity in data science industry by opting this opportunity.,2022-08-22 00:00:00,2022-10-21 11:40:44,NED University of Engineering and Technology,NED,0
74,2022-08-22 11:50:00,74,Yes,Sent,8/26/2022,not yet,university,Pakistan,Karachi,Male,26,Yes,Bachelors,iqra university,BsCs,Data Science,pythob,Beginner (0 Years),i have a interest,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Learner (1 Year or Less),Learner (1 Year or Less),TRUE,none,2022-08-22 00:00:00,2022-10-21 11:50:06,iqra university,IQRA,0
75,2022-08-22 12:18:00,75,No,Sent,8/27/2022,not yet,On social media,Pakistan,Karachi,Female,24,No,Bachelors,Iqra university main campus karachi,I'm very puntual,Computer Science,Python,Beginner (0 Years),I want to learn,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Learner (1 Year or Less),Learner (1 Year or Less),TRUE,No,2022-08-22 00:00:00,2022-10-21 12:18:33,Iqra university main campus karachi,IQRA,0
76,2022-08-22 12:19:00,76,No,Sent,8/27/2022,not yet,WhatsApp group,Pakistan,Lahore,Male,23,Yes,Bachelors,GCU Lahore,BS,Data Science,C++ and Python,Beginner (0 Years),To get hands on training from professionals,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),TRUE,Nil,2022-08-22 00:00:00,2022-10-21 12:19:03,GCU Lahore,GCU Lahore,0
77,2022-08-22 12:25:00,77,Yes,Sent,8/26/2022,not yet,Facebook group,Pakistan,Karachi,Male,23,Yes,Bachelors,Institute of business administration,BBA,None of them,None,Beginner (0 Years),I am pursuing Actuarial Sciences and this will help later in ny career,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 12:25:16,Institute of business administration,IBA,0
78,2022-08-22 12:56:00,78,No,Sent,8/27/2022,not yet,IAM heard about this course in WhatsApp group,Pakistan,Karachi,Male,20,Yes,Bachelors,Iqra university,BBA (honor),None of them,None,Learner (1 Year or Less),IAM interested in this course,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),TRUE,This course is free or paid,2022-08-22 00:00:00,2022-10-21 12:56:10,Iqra university,IQRA,0
79,2022-08-22 13:29:00,79,No,Sent,8/27/2022,not yet,friend,Pakistan,Karachi,Male,22,No,Bachelors,Dha suffa university,computer science,Data Science,python,Learner (1 Year or Less),to get job,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),Intermediate (2-3 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 13:29:01,Dha suffa university,Dha suffa university,0
80,2022-08-22 13:29:00,80,No,Sent,8/27/2022,not yet,LinkedIn,Pakistan,Karachi,Male,24,No,Bachelors,Iqra University EDC campus,BS(SE),All of them,Python,Beginner (0 Years),Learn something new,No,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,How long you take time to inform me related to the course,2022-08-22 00:00:00,2022-10-21 13:29:19,Iqra University EDC campus,IQRA,0
81,2022-08-22 13:32:00,81,No,Sent,8/27/2022,not yet,Friend,Pakistan,Islamabad,Male,24,No,Bachelors,"Quaid-I-Azam University, Islamabad",Information Technology,Computer Science,Python,Learner (1 Year or Less),Because this is most demanded field In future,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),None,Thanks,2022-08-22 00:00:00,2022-10-21 13:32:24,"Quaid-I-Azam University, Islamabad",QU,0
82,2022-08-22 13:55:00,82,No,Sent,8/27/2022,not yet,Whatsapp,Pakistan,Lahore,Female,25,No,Bachelors,The Islamia University of Bahawalpur,MCS,Computer Science,C#,Beginner (0 Years),"I am interested in Data Science and Machine Learning that's why, I would like to do this Course.",No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),None,None,2022-08-22 00:00:00,2022-10-21 13:55:52,The Islamia University of Bahawalpur,The Islamia University of Bahawalpur,0
83,2022-08-22 13:56:00,83,No,Sent,8/27/2022,not yet,through whatsapp,Pakistan,Karachi,Female,20,Yes,H.S.C,SSUET,BS AI,Data Science,Python Javascript,Learner (1 Year or Less),I want to become machine learning engineer,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),TRUE,no,2022-08-22 00:00:00,2022-10-21 13:56:00,SSUET,SSUET,0
84,2022-08-22 13:59:00,84,No,Sent,8/27/2022,not yet,on social media site,Pakistan,Karachi,Male,21,Yes,H.S.C,SMIU,BS Artificial intelligence,Data Science,Python,Learner (1 Year or Less),To gain some experience,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Intermediate (2-3 Years),TRUE,Its a great opportunity for fresh students to familiar with data science,2022-08-22 00:00:00,2022-10-21 13:59:45,SMIU,SMIU,0
85,2022-08-22 14:21:00,85,No,Sent,8/27/2022,not yet,My Tutor gave me link,Pakistan,Karachi,Male,21,Yes,H.S.C,Iqra university,Software engineering,Data Science,Java &  python,Beginner (0 Years),To Learn more new things,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,Hope I will learn new era things in data science,2022-08-22 00:00:00,2022-10-21 14:21:52,Iqra university,IQRA,0
86,2022-08-22 14:46:00,86,No,Sent,8/27/2022,not yet,Social Media,Pakistan,Lahore,Male,22,Yes,Masters,Quaid e Azam University,Economics,All of them,None,Learner (1 Year or Less),To learn more about data science especially want to  understand how to use softwares especially Python and R.,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,Nope.,2022-08-22 00:00:00,2022-10-21 14:46:19,Quaid e Azam University,QU,0
87,2022-08-22 15:07:00,87,No,Sent,8/27/2022,not yet,linkedin,Pakistan,Lahore,Male,21,No,Bachelors,The Islamia University of Bahawalpur,MCS,Computer Science,Python,Beginner (0 Years),I want to sharp up my skills regarding Data Science and Machine Learning.,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),TRUE,My addition to your software company would be beneficial for both.,2022-08-22 00:00:00,2022-10-21 15:07:25,The Islamia University of Bahawalpur,The Islamia University of Bahawalpur,0
88,2022-08-22 15:33:00,88,No,Sent,8/27/2022,not yet,Facebook,Pakistan,Karachi,Male,23,Yes,Bachelors,Sir syed university of Engineering Technology,Software Engineering,Statisitics,Python,Beginner (0 Years),Passion in Data science,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Intermediate (2-3 Years),Learner (1 Year or Less),TRUE,No,2022-08-22 00:00:00,2022-10-21 15:33:38,Sir syed university of Engineering Technology,SYED,0
89,2022-08-22 15:40:00,89,No,Sent,8/27/2022,not yet,Whatsapp,Pakistan,Karachi,Male,20,No,H.S.C,Adamjee Government Science College,Pre-Engineering,Computer Science,"python,Js",Beginner (0 Years),I want to learn data science and artificial intelligence in future because Ai is future.,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),TRUE,This is a great oppurtunity for the student who want to make future bright with the help of this company.,2022-08-22 00:00:00,2022-10-21 15:40:45,Adamjee Government Science College,Adamjee Government Science College,0
90,2022-08-22 15:44:00,90,No,Sent,8/27/2022,not yet,Social media,Pakistan,Karachi,Male,22,No,Bachelors,Sir syed university of engineering and technology,Software engineering,Computer Science,"JS, Java",Beginner (0 Years),Hands on experience,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),TRUE,None,2022-08-22 00:00:00,2022-10-21 15:44:42,Sir syed university of engineering and technology,SYED,0
91,2022-08-22 15:44:00,91,Yes,Sent,8/26/2022,not yet,Friends,Pakistan,Karachi,Male,24,No,Bachelors,Sir syed university of engineering and technology,Software engineering,All of them,"R, python",Beginner (0 Years),Expand my experience in data science.,Yes,Intermediate (2-3 Years),Intermediate (2-3 Years),Some (1 Year or Less),Intermediate (2-3 Years),Learner (1 Year or Less),Intermediate (2-3 Years),TRUE,How much stipend will I get.,2022-08-22 00:00:00,2022-10-21 15:44:54,Sir syed university of engineering and technology,SYED,0
92,2022-08-22 15:45:00,92,Yes,Sent,8/26/2022,not yet,A friend,Pakistan,Karachi,Female,22,Yes,Bachelors,Iqra University,Computer Science,Computer Science,python,Beginner (0 Years),Want to learn,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),TRUE,None,2022-08-22 00:00:00,2022-10-21 15:45:38,Iqra University,IQRA,0
93,2022-08-22 15:46:00,93,No,Sent,8/27/2022,not yet,From a post,Pakistan,Karachi,Male,22,Yes,Bachelors,Sir Syed University,Bs CE,None of them,React and JS,Beginner (0 Years),Exposure and learning,No,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),Learner (1 Year or Less),TRUE,No,2022-08-22 00:00:00,2022-10-21 15:46:59,Sir Syed University,SYED,0
94,2022-08-22 15:48:00,94,No,Sent,8/27/2022,not yet,LinkedIn,Pakistan,Karachi,Male,23,Yes,Bachelors,Sir Syed University Of Engineering And Technology,Software Engineering,None of them,Python,Beginner (0 Years),Want some knowledge,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),TRUE,None,2022-08-22 00:00:00,2022-10-21 15:48:18,Sir Syed University Of Engineering And Technology,SYED,0
95,2022-08-22 15:53:00,95,No,Sent,8/27/2022,not yet,Whatsapp  (University Job Group),Pakistan,Karachi,Male,23,Yes,Bachelors,Sir Syed University Of Engineering & Technology,Software Engineering,Data Science,"Python, SQL, R, Java",Intermediate (2-3 Years),"To gain practical experience, and apply machine learning/data science in different use case scenario.",No,Learner (1 Year or Less),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Learner (1 Year or Less),Intermediate (2-3 Years),TRUE,Yes. I am willing to dedicate my efforts to this. Regards,2022-08-22 00:00:00,2022-10-21 15:53:25,Sir Syed University Of Engineering & Technology,SYED,0
96,2022-08-22 15:59:00,96,No,Sent,8/27/2022,not yet,Whatsapp group,Pakistan,Karachi,Male,18,Yes,H.S.C,Memon Industrial and Technical Institute,Computer science,Computer Science,Javascript,Learner (1 Year or Less),Interest in machine learning,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,No,2022-08-22 00:00:00,2022-10-21 15:59:22,Memon Industrial and Technical Institute,Memon Industrial and Technical Institute,0
97,2022-08-22 15:59:00,97,No,Sent,8/27/2022,not yet,on social media,Pakistan,Karachi,Female,22,Yes,Bachelors,Sir syed University of engineering and technology,Computer engineering,Computer Science,python and java,Beginner (0 Years),gain experience,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),TRUE,not yet,2022-08-22 00:00:00,2022-10-21 15:59:58,Sir syed University of engineering and technology,SYED,0
98,2022-08-22 16:09:00,98,Yes,Sent,8/26/2022,not yet,LinkedIn,Pakistan,Karachi,Male,23,No,Bachelors,Sirsyed university of engineering and technology,Software engineering,Statisitics,Python,Beginner (0 Years),For  become proficient in data analytics and data science,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),TRUE,None,2022-08-22 00:00:00,2022-10-21 16:09:56,Sirsyed university of engineering and technology,SYED,0
99,2022-08-22 16:11:00,99,No,Sent,8/27/2022,not yet,By my teacher,Pakistan,Karachi,Male,24,Yes,Bachelors,Iqra University,BS Software Engineering (BSSE),Data Science,Python,Beginner (0 Years),To get learn about industrial projects & workflow with a team to achieve goals.,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),TRUE,None,2022-08-22 00:00:00,2022-10-21 16:11:02,Iqra University,IQRA,0
100,2022-08-22 16:17:00,100,Yes,Sent,8/26/2022,not yet,Social Media,Pakistan,Karachi,Male,22,Yes,Bachelors,University Of Karachi,BS Software Engineering,Computer Science,"Python,JS",Learner (1 Year or Less),Seeking Career in the Field of Data Science,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),None,Great Initiative as there are very less oppurtunities in the field od Data Science in Pakistan.,2022-08-22 00:00:00,2022-10-21 16:17:28,University Of Karachi,KU,0
101,2022-08-22 16:28:00,101,No,Sent,8/27/2022,not yet,friend,Pakistan,Karachi,Male,26,Yes,Bachelors,Sir Syed University,Computer Engineering,Computer Science,Python,Beginner (0 Years),to learn machine learning,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),TRUE,none,2022-08-22 00:00:00,2022-10-21 16:28:54,Sir Syed University,SYED,0
102,2022-08-22 16:52:00,102,No,Sent,8/27/2022,not yet,Job posting group,Pakistan,Karachi,Male,25,No,Bachelors,Sir Syed University of Engineering and Technology,Software Engineering,Statisitics,"C language, Java, python.",Beginner (0 Years),To improve my Skillset,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),TRUE,None!,2022-08-22 00:00:00,2022-10-21 16:52:13,Sir Syed University of Engineering and Technology,SYED,0
103,2022-08-22 17:02:00,103,No,Sent,8/27/2022,not yet,Family,Pakistan,Hyderabad,Male,21,Yes,Bachelors,University of Sindh,BS Statistics,Statisitics,R and Python,Beginner (0 Years),Interest,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,"I have Interest in learning about data science, machine learning and artificial intelligence.  This might be the best way to learn it with professionals and would be glad to learn from experience teachers.",2022-08-22 00:00:00,2022-10-21 17:02:35,University of Sindh,SMIU,0
104,2022-08-22 17:04:00,104,No,Sent,8/27/2022,not yet,An hour ago from a friend,Pakistan,Karachi,Male,21,Yes,Bachelors,Sir Syed University of Engineering and Technology,Software Degree,None of them,Java,Beginner (0 Years),I am eager to learn,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),Learner (1 Year or Less),TRUE,It would be great if I could enroll in this course for free,2022-08-22 00:00:00,2022-10-21 17:04:37,Sir Syed University of Engineering and Technology,SYED,0
105,2022-08-22 17:27:00,105,Yes,Sent,8/26/2022,not yet,Friend suggest,Pakistan,Karachi,Male,23,Yes,Bachelors,Iqra university,Engineering and Energy,None of them,Python,Beginner (0 Years),Want to learn more skills and got a opportunity of internship and got lot of experience,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),None,None,2022-08-22 00:00:00,2022-10-21 17:27:56,Iqra university,IQRA,0
106,2022-08-22 17:41:00,106,Yes,Sent,8/26/2022,not yet,Teacher recommanded,Pakistan,Karachi,Male,22,Yes,Bachelors,Sir Syed University of Engineering and Technology,Software Engineering,Computer Science,"Python, Java, Javascript, dart",Beginner (0 Years),Needed to learn and build good understanding of data science to pursue the career of Data Scientist.,Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),Intermediate (2-3 Years),TRUE,Yes I greatly respect on the your efforts on teaching us young generation..,2022-08-22 00:00:00,2022-10-21 17:41:51,Sir Syed University of Engineering and Technology,SYED,0
107,2022-08-22 19:48:00,107,Yes,Sent,8/26/2022,not yet,WhatsApp,Pakistan,Karachi,Male,24,No,Bachelors,Sir Syed university of engineering and technology,Computer science,Computer Science,Java or js,Beginner (0 Years),To gain knowledge,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),Beginner (0 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 19:48:01,Sir Syed university of engineering and technology,SYED,0
108,2022-08-22 20:01:00,108,No,Sent,8/27/2022,not yet,Whatsapp,Pakistan,Karachi,Male,22,Yes,Bachelors,Sur Syed University of Engineering and Technology,BS Software Engineering,Econometrics,Python,Beginner (0 Years),My love for data and its application in our normal and professional life,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Learner (1 Year or Less),None,No,2022-08-22 00:00:00,2022-10-21 20:01:48,Sur Syed University of Engineering and Technology,SYED,0
109,2022-08-22 21:39:00,109,No,Sent,8/27/2022,not yet,From my friend,Pakistan,Karachi,Female,33,Yes,PhD,Ned university,CSIT,Computer Science,"Python,c#",Learner (1 Year or Less),It will help me in pursing my phd degree,No,Advanced (4+),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Intermediate (2-3 Years),TRUE,None,2022-08-22 00:00:00,2022-10-21 21:39:42,Ned university,NED,0
110,2022-08-22 23:17:00,110,No,Sent,8/27/2022,not yet,WhatsApp Group,Pakistan,Karachi,Male,25,No,Bachelors,SSUET,Software  BSSE,Computer Science,Python,Beginner (0 Years),Build and Enhance skills and Experience in Data Science,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),Beginner (0 Years),TRUE,Good Work,2022-08-22 00:00:00,2022-10-21 23:17:37,SSUET,SSUET,0
